"subjectID","age","gender","glasses","lenses","psychopyVers","codeVersion","expID","expCond","noArms","idArm1","idArm2","idArm3","idArm4","idArm5","idArm6","imgArm1","imgArm2","imgArm3","imgArm4","imgArm5","imgArm6","posArm1","posArm2","posArm3","posArm4","posArm5","posArm6","valExpArm1","valExpArm2","valExpArm3","valExpArm4","valExpArm5","valExpArm6","valSdArm1","valSdArm2","valSdArm3","valSdArm4","valSdArm5","valSdArm6","inoSdArm1","inoSdArm2","inoSdArm3","inoSdArm4","inoSdArm5","inoSdArm6","decayArm1","decayArm2","decayArm3","decayArm4","decayArm5","decayArm6","exchangeRate","scalingFactor","units","seed","game","gameType","trial","calibration","ITI","timeFixStim","timeFixChoice","choiceMade","chosenArm","chosenArmId","chosenArmPos","choiceRT","IFI","reward","rewardScaled","rewardExp","rewardMaxExp","regret","regretExp","correct","correctArm","correctArmId","chosenRankExp","rewardTotal","rewardTotalScaled","feedbackRT","timeTrial","instTime","timeTotal"
7283375,59,"Male","No","No","1.85.4",1.6,"exp2","stationary",6,"a6","a5","a4","a3","a1","a2","pokoi.png","tverdo.png","az.png","mislete.png","Iota.png","rtsi.png","[9.0, 0.0]","[4.5, 7.79422863406]","[-4.5, 7.79422863406]","[-9.0, 1.10218211923e-15]","[-4.5, -7.79422863406]","[4.5, -7.79422863406]",3.3909560536,3.78082782739,4.24558582894,4.77473609115,6,5.36125122309,0.866025403784,1.07238052948,1.2449899598,1.39642400438,1.65831239518,1.53297097168,0,0,0,0,0,0,1,1,1,1,1,1,40,13.4080626313,"lek",741,2,"decVar",46,0,5.03608108589,1.40968804747,1.03211429186,1,5,"a1","[-4.5, -7.79422863406]",0.991,2.35965456318,7.12710107016,95.6,6,6,-1.12710107016,0,1,5,"a1",1,189.802349091,2545.3,3.483,14.999,11.6924725604,3877.25354083
7283375,59,"Male","No","No","1.85.4",1.6,"exp2","stationary",6,"a6","a5","a4","a3","a1","a2","pokoi.png","tverdo.png","az.png","mislete.png","Iota.png","rtsi.png","[9.0, 0.0]","[4.5, 7.79422863406]","[-4.5, 7.79422863406]","[-9.0, 1.10218211923e-15]","[-4.5, -7.79422863406]","[4.5, -7.79422863406]",3.3909560536,3.78082782739,4.24558582894,4.77473609115,6,5.36125122309,0.866025403784,1.07238052948,1.2449899598,1.39642400438,1.65831239518,1.53297097168,0,0,0,0,0,0,1,1,1,1,1,1,40,13.4080626313,"lek",741,2,"decVar",47,0,5.24907033186,1.06142737961,2.18641546852,1,5,"a1","[-4.5, -7.79422863406]",0.839,2.39046390949,6.13709072979,82.3,6,6,-0.137090729788,0,1,5,"a1",1,195.939439821,2627.6,3.509,16.21,11.6924725604,3901.47569355
7283375,59,"Male","No","No","1.85.4",1.6,"exp2","stationary",6,"a6","a5","a4","a3","a1","a2","pokoi.png","tverdo.png","az.png","mislete.png","Iota.png","rtsi.png","[9.0, 0.0]","[4.5, 7.79422863406]","[-4.5, 7.79422863406]","[-9.0, 1.10218211923e-15]","[-4.5, -7.79422863406]","[4.5, -7.79422863406]",3.3909560536,3.78082782739,4.24558582894,4.77473609115,6,5.36125122309,0.866025403784,1.07238052948,1.2449899598,1.39642400438,1.65831239518,1.53297097168,0,0,0,0,0,0,1,1,1,1,1,1,40,13.4080626313,"lek",741,2,"decVar",48,0,5.40706718754,1.33471061098,2.13383799381,1,6,"a2","[4.5, -7.79422863406]",1.101,2.14185670703,3.33318844866,44.7,5.36125122309,6,2.66681155134,0.638748776907,0,5,"a1",2,199.27262827,2672.3,3.472,15.891,11.6924725604,3925.81179993
7283375,59,"Male","No","No","1.85.4",1.6,"exp2","stationary",6,"a6","a5","a4","a3","a1","a2","pokoi.png","tverdo.png","az.png","mislete.png","Iota.png","rtsi.png","[9.0, 0.0]","[4.5, 7.79422863406]","[-4.5, 7.79422863406]","[-9.0, 1.10218211923e-15]","[-4.5, -7.79422863406]","[4.5, -7.79422863406]",3.3909560536,3.78082782739,4.24558582894,4.77473609115,6,5.36125122309,0.866025403784,1.07238052948,1.2449899598,1.39642400438,1.65831239518,1.53297097168,0,0,0,0,0,0,1,1,1,1,1,1,40,13.4080626313,"lek",741,2,"decVar",49,0,5.08831359603,1.02729438897,1.76724149946,1,5,"a1","[-4.5, -7.79422863406]",0.901,2.14405314896,7.55546910966,101.3,6,6,-1.55546910966,0,1,5,"a1",1,206.828097379,2773.6,3.512,15.536,11.6924725604,3949.14652277
7283375,59,"Male","No","No","1.85.4",1.6,"exp2","stationary",6,"a6","a5","a4","a3","a1","a2","pokoi.png","tverdo.png","az.png","mislete.png","Iota.png","rtsi.png","[9.0, 0.0]","[4.5, 7.79422863406]","[-4.5, 7.79422863406]","[-9.0, 1.10218211923e-15]","[-4.5, -7.79422863406]","[4.5, -7.79422863406]",3.3909560536,3.78082782739,4.24558582894,4.77473609115,6,5.36125122309,0.866025403784,1.07238052948,1.2449899598,1.39642400438,1.65831239518,1.53297097168,0,0,0,0,0,0,1,1,1,1,1,1,40,13.4080626313,"lek",741,2,"decVar",50,0,5.03798453166,1.06196213425,1.02947266081,1,5,"a1","[-4.5, -7.79422863406]",0.935,2.06141833774,7.11700140927,95.4,6,6,-1.11700140927,0,1,5,"a1",1,213.945098789,2869,3.503,14.727,11.6924725604,3971.67354082
7283375,59,"Male","No","No","1.85.4",1.6,"exp2","stationary",6,"a6","a5","a4","a3","a1","a2","pokoi.png","tverdo.png","az.png","mislete.png","Iota.png","rtsi.png","[9.0, 0.0]","[4.5, 7.79422863406]","[-4.5, 7.79422863406]","[-9.0, 1.10218211923e-15]","[-4.5, -7.79422863406]","[4.5, -7.79422863406]",3.3909560536,3.78082782739,4.24558582894,4.77473609115,6,5.36125122309,0.866025403784,1.07238052948,1.2449899598,1.39642400438,1.65831239518,1.53297097168,0,0,0,0,0,0,1,1,1,1,1,1,40,13.4080626313,"lek",741,2,"decVar",51,0,5.02068389158,1.05675140537,1.19234754728,1,5,"a1","[-4.5, -7.79422863406]",0.763,2.39380342063,5.59964821716,75.1,6,6,0.400351782843,0,1,5,"a1",1,219.544747006,2944.1,3.476,15.235,11.6924725604,3994.65175242
7283375,59,"Male","No","No","1.85.4",1.6,"exp2","stationary",6,"a6","a5","a4","a3","a1","a2","pokoi.png","tverdo.png","az.png","mislete.png","Iota.png","rtsi.png","[9.0, 0.0]","[4.5, 7.79422863406]","[-4.5, 7.79422863406]","[-9.0, 1.10218211923e-15]","[-4.5, -7.79422863406]","[4.5, -7.79422863406]",3.3909560536,3.78082782739,4.24558582894,4.77473609115,6,5.36125122309,0.866025403784,1.07238052948,1.2449899598,1.39642400438,1.65831239518,1.53297097168,0,0,0,0,0,0,1,1,1,1,1,1,40,13.4080626313,"lek",741,2,"decVar",52,0,5.04271814425,1.02226143756,1.03080727187,1,3,"a4","[-4.5, 7.79422863406]",1.063,2.12910692964,2.77122751598,37.2,4.24558582894,6,3.22877248402,1.75441417106,0,5,"a1",4,222.315974522,2981.3,3.481,14.758,11.6924725604,4017.19070175
7283375,59,"Male","No","No","1.85.4",1.6,"exp2","stationary",6,"a6","a5","a4","a3","a1","a2","pokoi.png","tverdo.png","az.png","mislete.png","Iota.png","rtsi.png","[9.0, 0.0]","[4.5, 7.79422863406]","[-4.5, 7.79422863406]","[-9.0, 1.10218211923e-15]","[-4.5, -7.79422863406]","[4.5, -7.79422863406]",3.3909560536,3.78082782739,4.24558582894,4.77473609115,6,5.36125122309,0.866025403784,1.07238052948,1.2449899598,1.39642400438,1.65831239518,1.53297097168,0,0,0,0,0,0,1,1,1,1,1,1,40,13.4080626313,"lek",741,2,"decVar",53,0,5.01086008277,5.49283101668,1.01017200042,1,2,"a5","[4.5, 7.79422863406]",1.182,2.17184322164,4.30191670189,57.7,3.78082782739,6,1.69808329811,2.21917217261,0,5,"a1",5,226.617891224,3039,3.495,14.829,11.6924725604,4044.19372141
7283375,59,"Male","No","No","1.85.4",1.6,"exp2","stationary",6,"a6","a5","a4","a3","a1","a2","pokoi.png","tverdo.png","az.png","mislete.png","Iota.png","rtsi.png","[9.0, 0.0]","[4.5, 7.79422863406]","[-4.5, 7.79422863406]","[-9.0, 1.10218211923e-15]","[-4.5, -7.79422863406]","[4.5, -7.79422863406]",3.3909560536,3.78082782739,4.24558582894,4.77473609115,6,5.36125122309,0.866025403784,1.07238052948,1.2449899598,1.39642400438,1.65831239518,1.53297097168,0,0,0,0,0,0,1,1,1,1,1,1,40,13.4080626313,"lek",741,2,"decVar",54,0,5.02421842216,1.01768985425,1.02022709437,1,1,"a6","[9.0, 0.0]",0.703,2.03317238204,2.99724962757,40.2,3.3909560536,6,3.00275037243,2.6090439464,0,5,"a1",6,229.615140851,3079.2,3.495,14.742,11.6924725604,4066.66332274
7283375,59,"Male","No","No","1.85.4",1.6,"exp2","stationary",6,"a6","a5","a4","a3","a1","a2","pokoi.png","tverdo.png","az.png","mislete.png","Iota.png","rtsi.png","[9.0, 0.0]","[4.5, 7.79422863406]","[-4.5, 7.79422863406]","[-9.0, 1.10218211923e-15]","[-4.5, -7.79422863406]","[4.5, -7.79422863406]",3.3909560536,3.78082782739,4.24558582894,4.77473609115,6,5.36125122309,0.866025403784,1.07238052948,1.2449899598,1.39642400438,1.65831239518,1.53297097168,0,0,0,0,0,0,1,1,1,1,1,1,40,13.4080626313,"lek",741,2,"decVar",55,0,5.04674384699,1.04913684058,1.39430873149,1,5,"a1","[-4.5, -7.79422863406]",0.933,2.43448196732,6.54142386046,87.7,6,6,-0.541423860458,0,1,5,"a1",1,236.156564712,3166.9,3.503,15.494,11.6924725604,4089.91633109
